id,iupac,formula,trivial,casrn,inchikey,subcat_id,
3805,1-bromo-2-ethylbenzene,C<sub>8</sub>H<sub>9</sub>Br,,1973-22-4,HVRUGFJYCAFAAN-UHFFFAOYSA-N,47,
3806,1-bromo-4-ethylbenzene,C<sub>8</sub>H<sub>9</sub>Br,,1585-07-5,URFPRAHGGBYNPW-UHFFFAOYSA-N,47,
3807,1-(bromomethyl)-2-methylbenzene,C<sub>8</sub>H<sub>9</sub>Br,o-xylyl bromide,89-92-9,WGVYCXYGPNNUQA-UHFFFAOYSA-N,47,
3808,1-(bromomethyl)-3-methylbenzene,C<sub>8</sub>H<sub>9</sub>Br,m-xylyl bromide,620-13-3,FWLWTILKTABGKQ-UHFFFAOYSA-N,47,
3809,1-(bromomethyl)-4-methylbenzene,C<sub>8</sub>H<sub>9</sub>Br,p-xylyl bromide,104-81-4,WZRKSPFYXUXINF-UHFFFAOYSA-N,47,
3810,(2-bromoethyl)-benzene,C<sub>8</sub>H<sub>9</sub>Br,,103-63-9,WMPPDTMATNBGJN-UHFFFAOYSA-N,47,
3811,2-bromostyrene,C<sub>8</sub>H<sub>7</sub>Br,,125904-11-2,SSZOCHFYWWVSAI-UHFFFAOYSA-N,47,
3812,(2-bromoethenyl)benzene,C<sub>8</sub>H<sub>7</sub>Br,,103-64-0,YMOONIIMQBGTDU-VOTSOKGWSA-N,47,
3813,"2,3,4,5,6-pentabromoethylbenzene",C<sub>8</sub>H<sub>5</sub>Br<sub>5</sub>,,85-22-3,FIAXCDIQXHJNIX-UHFFFAOYSA-N,47,
3814,1-bromo-2-(2-propyl)-benzene,BrC<sub>6</sub>H<sub>4</sub>C<sub>3</sub>H<sub>7</sub>,o-bromocumene,7073-94-1,LECYCYNAEJDSIL-UHFFFAOYSA-N,47,
3815,1-bromonaphthalene,C<sub>10</sub>H<sub>7</sub>Br,,90-11-9,DLKQHBOKULLWDQ-UHFFFAOYSA-N,47,
3816,decabromobiphenyl,C<sub>12</sub>Br<sub>10</sub>,,13654-09-6,AQPHBYQUCKHJLT-UHFFFAOYSA-N,47,
3817,"4-bromo-1,1''-biphenyl",C<sub>12</sub>H<sub>9</sub>Br,,92-66-0,PKJBWOWQJHHAHG-UHFFFAOYSA-N,47,
3818,octabromobiphenyl,C<sub>12</sub>H<sub>2</sub>Br<sub>8</sub>,,27858-07-7,NDRKXFLZSRHAJE-UHFFFAOYSA-N,47,
3819,hexabromobiphenyl,C<sub>12</sub>H<sub>4</sub>Br<sub>6</sub>,,36355-01-8,PTJQVJQAZSLKJO-UHFFFAOYSA-N,47,
3820,"2,2'',4,4'',5,5''-hexabromo-1,1''-biphenyl",C<sub>12</sub>H<sub>4</sub>Br<sub>6</sub>,,59080-40-9,HMBBJSKXDBUNNT-UHFFFAOYSA-N,47,
3821,"1,2-bis(pentabromophenyl) ethane",C<sub>14</sub>H<sub>4</sub>Br<sub>10</sub>,,84852-53-9,BZQKBFHEWDPQHD-UHFFFAOYSA-N,47,
3822,"1,3,6,8-tetrabromopyrene",C<sub>16</sub>H<sub>6</sub>Br<sub>4</sub>,,128-63-2,ZKBKRTZIYOKNRG-UHFFFAOYSA-N,47,
3823,6-bromobenzo[a]pyrene,C<sub>20</sub>H<sub>11</sub>Br,,21248-00-0,MJSYSGSEEADMTK-UHFFFAOYSA-N,47,
3824,bromomethanol,CH<sub>2</sub>BrOH,,50398-29-3,OEDMOCYNWLHUDP-UHFFFAOYSA-N,47,
3825,dibromomethanol,CHBr<sub>2</sub>OH,,166600-78-8,WICMSCLXMMZMFF-UHFFFAOYSA-N,47,
3826,tribromomethanol,CBr<sub>3</sub>OH,,5405-30-1,ACRXLLXANWELLX-UHFFFAOYSA-N,47,
3827,formyl bromide,CHBrO,,06/11/7726,AIFARXRIYKCEEV-UHFFFAOYSA-N,47,
3828,carbonyl bromide,CBr<sub>2</sub>O,,593-95-3,MOIPGXQKZSZOQX-UHFFFAOYSA-N,47,
3829,bromomethyl peroxide,CH<sub>2</sub>BrO<sub>2</sub>H,,_CAS-06,inchikey,47,
3830,dibromomethyl peroxide,CHBr<sub>2</sub>O<sub>2</sub>H,,_CAS-05,inchikey,47,
3831,tribromomethyl peroxide,CBr<sub>3</sub>O<sub>2</sub>H,,_CAS-04,inchikey,47,
3832,bromoethanoic acid,CH<sub>2</sub>BrCOOH,bromoacetic acid,79-08-3,KDPAWGWELVVRCH-UHFFFAOYSA-N,47,
3833,dibromoethanoic acid,CHBr<sub>2</sub>COOH,dibromoacetic acid,631-64-1,SIEILFNCEFEENQ-UHFFFAOYSA-N,47,
3834,tribromoethanoic acid,CBr<sub>3</sub>COOH,tribromoacetic acid,75-96-7,QIONYIKHPASLHO-UHFFFAOYSA-N,47,
3835,"2,3-dibromopropyl alcohol",C<sub>3</sub>H<sub>6</sub>Br<sub>2</sub>O,,96-13-9,QWVCIORZLNBIIC-UHFFFAOYSA-N,47,
3836,bromoacetone,C<sub>3</sub>H<sub>5</sub>BrO,,598-31-2,VQFAIAKCILWQPZ-UHFFFAOYSA-N,47,
3837,(bromomethyl)oxirane,C<sub>3</sub>H<sub>5</sub>BrO,epibromohydrin,3132-64-7,GKIPXFAANLTWBM-UHFFFAOYSA-N,47,
3838,"2,3-dibromobutane-1,4-diol",C<sub>4</sub>H<sub>8</sub>Br<sub>2</sub>O<sub>2</sub>,,90801-18-6,OXYNQEOLHRWEPE-QWWZWVQMSA-N,47,
3839,"bromoacetic acid, ethyl ester",C<sub>4</sub>H<sub>7</sub>BrO<sub>2</sub>,,105-36-2,PQJJJMRNHATNKG-UHFFFAOYSA-N,47,
3840,brometone,C<sub>4</sub>H<sub>7</sub>Br<sub>3</sub>O,"1,1,1-tribromo-2-methyl-2-propanol",76-08-4,JUGRTVJQTFZHOM-UHFFFAOYSA-N,47,
3841,"2,2-bis(bromomethyl)-1,3-propanediol",C<sub>5</sub>H<sub>10</sub>Br<sub>2</sub>O<sub>2</sub>,,3296-90-0,CHUGKEQJSLOLHL-UHFFFAOYSA-N,47,
3842,trisbromoneopentyl alcohol,C<sub>5</sub>H<sub>9</sub>Br<sub>3</sub>O,,36483-57-5,HQWKMYFWGMCJSW-UHFFFAOYSA-N,47,
3843,2-bromophenol,HOC<sub>6</sub>H<sub>4</sub>Br,,95-56-7,VADKRMSMGWJZCF-UHFFFAOYSA-N,47,
3844,3-bromophenol,HOC<sub>6</sub>H<sub>4</sub>Br,,591-20-8,MNOJRWOWILAHAV-UHFFFAOYSA-N,47,
3845,4-bromophenol,HOC<sub>6</sub>H<sub>4</sub>Br,,106-41-2,GZFGOTFRPZRKDS-UHFFFAOYSA-N,47,
3846,"2,4-dibromophenol",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>O,,615-58-7,FAXWFCTVSHEODL-UHFFFAOYSA-N,47,
3847,"2,6-dibromophenol",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>O,,608-33-3,SSIZLKDLDKIHEV-UHFFFAOYSA-N,47,
3848,"2,4,6-tribromophenol",C<sub>6</sub>H<sub>3</sub>Br<sub>3</sub>O,,118-79-6,BSWWXRFVMJHFBN-UHFFFAOYSA-N,47,
3849,"2,3,4,6-tetrabromophenol",C<sub>6</sub>H<sub>2</sub>Br<sub>4</sub>O,,14400-94-3,CXPJZISGVIVNEL-UHFFFAOYSA-N,47,
3850,pentabromophenol,C<sub>6</sub>HBr<sub>5</sub>O,,608-71-9,SVHOVVJFOWGYJO-UHFFFAOYSA-N,47,
3851,1-bromo-2-methoxybenzene,C<sub>7</sub>H<sub>7</sub>BrO,2-bromoanisole,578-57-4,HTDQSWDEWGSAMN-UHFFFAOYSA-N,47,
3852,1-bromo-3-methoxybenzene,C<sub>7</sub>H<sub>7</sub>BrO,3-bromoanisole,2398-37-0,PLDWAJLZAAHOGG-UHFFFAOYSA-N,47,
3853,1-bromo-4-methoxybenzene,C<sub>7</sub>H<sub>7</sub>BrO,4-bromoanisole,104-92-7,QJPJQTDYNZXKQF-UHFFFAOYSA-N,47,
3854,"1,5-dibromo-2-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Br<sub>2</sub>O,"2,4-dibromoanisole",21702-84-1,XGXUGXPKRBQINS-UHFFFAOYSA-N,47,
3855,"1,3-dibromo-2-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Br<sub>2</sub>O,"2,6-dibromoanisole",38603-09-7,BMZVDHQOAJUZJL-UHFFFAOYSA-N,47,
3856,"1,3,4-tribromo-2-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Br<sub>3</sub>O,"2,3,6-tribromoanisole",95970-19-7,XZYCSFIRWAPGJV-UHFFFAOYNA-N,47,
3857,"1,3,5-tribromo-2-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Br<sub>3</sub>O,"2,4,6-tribromoanisole",607-99-8,YXTRCOAFNXQTKL-UHFFFAOYSA-N,47,
3858,pentabromomethoxybenzene,C<sub>7</sub>H<sub>3</sub>Br<sub>5</sub>O,pentabromoanisole,1825-26-9,VEFNQGLEDJPUJF-UHFFFAOYSA-N,47,
3859,"1,3,5-tribromo-2-methoxy-4-methylbenzene",C<sub>8</sub>H<sub>7</sub>Br<sub>3</sub>O,,41424-36-6,NMPPAMFEYWGNCI-UHFFFAOYSA-N,47,
3860,"4,5,6,7-tetrabromo-1,3-isobenzofurandione",C<sub>8</sub>Br<sub>4</sub>O<sub>3</sub>,,632-79-1,QHWKHLYUUZGSCW-UHFFFAOYSA-N,47,
3861,"allyl 2,4,6-tribromophenyl ether",C<sub>9</sub>H<sub>7</sub>Br<sub>3</sub>O,,3278-89-5,RZLLIOPGUFOWOD-UHFFFAOYSA-N,47,
3862,"2,4-dibromo-6-methylphenyl glycidyl ether",C<sub>10</sub>H<sub>10</sub>Br<sub>2</sub>O<sub>2</sub>,,75150-13-9,XQTJZNGNEJLXTR-UHFFFAOYSA-N,47,
3863,"2-(2,4,6-tribromophenoxy)ethyl acrylate",C<sub>11</sub>H<sub>9</sub>Br<sub>3</sub>O<sub>3</sub>,,7347-19-5,AMBJXYFIMKHOQE-UHFFFAOYSA-N,47,
3864,"1,2,3'',4,4'',5''-hexabromodiphenyl ether",C<sub>12</sub>H<sub>4</sub>Br<sub>6</sub>O,,36483-60-0,NMUPLZRHSXJCJQ-UHFFFAOYSA-N,47,
3865,heptabromodiphenyl oxide,C<sub>12</sub>H<sub>3</sub>Br<sub>7</sub>O,,68928-80-3,NLBLNZDNOSSGPW-UHFFFAOYSA-N,47,
3866,"2,2'',3,4,4'',5,5'',6-octabromodiphenyl ether",C<sub>12</sub>H<sub>2</sub>Br<sub>8</sub>O,,32536-52-0,RTUZOQFRIPIWPS-UHFFFAOYSA-N,47,
3867,nonabromodiphenyl ether,C<sub>12</sub>HBr<sub>9</sub>O,,63936-56-1,CYRHBNRLQMLULE-UHFFFAOYSA-N,47,
3868,"1,2,3-tribromo-4-(3-bromophenoxy)benzene",C<sub>12</sub>H<sub>6</sub>Br<sub>4</sub>O,,40088-47-9,VIHUMJGEWQPWOT-UHFFFAOYSA-N,47,
3869,"4,4''-methylenebis(2,6-dibromophenol)",C<sub>13</sub>H<sub>8</sub>Br<sub>4</sub>O<sub>2</sub>,,21825-03-6,WPZJSWWEEJJSIZ-UHFFFAOYSA-N,47,
3870,"1,1''-[1,2-ethanediylbis(oxy)]bis pentabromobenzene",C<sub>14</sub>H<sub>4</sub>Br<sub>10</sub>O<sub>2</sub>,,61262-53-1,JJEPQBZQAGCZTH-UHFFFAOYSA-N,47,
3871,"4,4''-dibromobenzil",C<sub>14</sub>H<sub>8</sub>Br<sub>2</sub>O<sub>2</sub>,,35578-47-3,NYCBYBDDECLFPE-UHFFFAOYSA-N,47,
3872,"1,2-bis(2,4,6-tribromophenoxy)ethane",C<sub>14</sub>H<sub>8</sub>Br<sub>6</sub>O<sub>2</sub>,BTBPE,37853-59-1,YATIGPZCMOYEGE-UHFFFAOYSA-N,47,
3873,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate",C<sub>15</sub>H<sub>18</sub>Br<sub>4</sub>O<sub>2</sub>,EHTeBB,183658-27-7,HVDXCGSGEQKWGB-UHFFFAOYSA-N,47,
3874,tribromobisphenol A,C<sub>15</sub>H<sub>13</sub>Br<sub>3</sub>O<sub>2</sub>,,6386-73-8,WYBOEVJIVYIEJL-UHFFFAOYSA-N,47,
3875,"4,4''-(1-methylethylidene)bis(2,6-dibromophenol)",C<sub>15</sub>H<sub>12</sub>Br<sub>4</sub>O<sub>2</sub>,,79-94-7,VEORPZCZECFIRK-UHFFFAOYSA-N,47,
3876,"4-[2-[2,6-bis(bromanyl)-4-oxidanyl-phenyl]propan-2-yl]-3,5-bis(bromanyl)phenol",C<sub>15</sub>H<sub>12</sub>Br<sub>4</sub>O<sub>2</sub>,,94334-64-2,KIZJVNGSIWXYTL-UHFFFAOYSA-N,47,
3877,"2-(2-hydroxyethoxy)ethyl 2-hydroxypropyl 3,4,5,6-tetrabromophthalate",C<sub>15</sub>H<sub>16</sub>Br<sub>4</sub>O<sub>7</sub>,,20566-35-2,OQHHASWHOGRCRC-UHFFFAOYSA-N,47,
3878,bromopropylate,C<sub>17</sub>H<sub>16</sub>Br<sub>2</sub>O<sub>3</sub>,,18181-80-1,FOANIXZHAMJWOI-UHFFFAOYSA-N,47,
3879,"1,2,4,5-tetrabromo-3,6-bis(pentabromophenoxy)benzene",C<sub>18</sub>O<sub>2</sub>Br<sub>14</sub>,,58965-66-5,YMIUHIAWWDYGGU-UHFFFAOYSA-N,47,
3880,"2,2-bis(3,5-dibromo-4-(2-hydroxyethoxy)phenyl)propane",C<sub>19</sub>H<sub>20</sub>Br<sub>4</sub>O<sub>4</sub>,,4162-45-2,RVHUMFJSCJBNGS-UHFFFAOYSA-N,47,
3881,solvent red 43,C<sub>20</sub>H<sub>8</sub>Br<sub>4</sub>O<sub>5</sub>,,15086-94-9,DBZJJPROPLPMSN-UHFFFAOYSA-N,47,
3882,"2,2-bis[4-(2,3-dibromopropoxy)-3,5-dibromophenyl]-propane",C<sub>21</sub>H<sub>20</sub>Br<sub>8</sub>O<sub>2</sub>,,21850-44-2,LXIZRZRTWSDLKK-UHFFFAOYSA-N,47,
3883,"2,2-bis(4-allyloxy-3,5-dibromophenyl)propane",C<sub>21</sub>H<sub>20</sub>Br<sub>4</sub>O<sub>2</sub>,,25327-89-3,PWXTUWQHMIFLKL-UHFFFAOYSA-N,47,
3884,AC1MJ2TG,C<sub>21</sub>H<sub>24</sub>Br<sub>4</sub>O<sub>4</sub>,,33294-14-3,UTMWVHZWNKBNKF-UHFFFAOYSA-N,47,
3885,"tetrabromophenolphthalein, ethyl ester",C<sub>22</sub>H<sub>14</sub>Br<sub>4</sub>O<sub>4</sub>,,1176-74-5,SQFXATUXPUCFFO-UHFFFAOYSA-N,47,
3886,"4,10-dibromodibenzo[def,mno]chrysene-6,12-dione",C<sub>22</sub>H<sub>8</sub>Br<sub>2</sub>O<sub>2</sub>,,4378-61-4,HTENFZMEHKCNMD-UHFFFAOYSA-N,47,
3887,"bis(2-ethylhexyl)-3,4,5,6-tetrabromophthalate",C<sub>24</sub>H<sub>34</sub>Br<sub>4</sub>O<sub>4</sub>,TBPH,26040-51-7,UUEDINPOVKWVAZ-UHFFFAOYSA-N,47,
3888,bromadiolone,C<sub>30</sub>H<sub>23</sub>BrO<sub>4</sub>,,28772-56-7,OWNRRUFOJXFKCU-UHFFFAOYSA-N,47,
3889,brodifacoum,C<sub>31</sub>H<sub>23</sub>BrO<sub>3</sub>,,56073-10-0,VEUZZDOCACZPRY-UHFFFAOYSA-N,47,
3890,4-bromodiphenyl ether,C<sub>12</sub>H<sub>9</sub>BrO,PBDE-3,101-55-3,JDUYPUMQALQRCN-UHFFFAOYSA-N,48,
3891,"4,4''-dibromodiphenyl ether",C<sub>12</sub>H<sub>8</sub>Br<sub>2</sub>O,PBDE-15,2050-47-7,YAWIAFUBXXPJMQ-UHFFFAOYSA-N,48,
3892,"2,4,4''-tribromodiphenyl ether",C<sub>12</sub>H<sub>7</sub>Br<sub>3</sub>O,PBDE-28,41318-75-6,UPNBETHEXPIWQX-UHFFFAOYSA-N,48,
3893,"2,2'',4,4''-tetrabromodiphenyl ether",C<sub>12</sub>H<sub>6</sub>Br<sub>4</sub>O,PBDE-47,5436-43-1,XYBSIYMGXVUVGY-UHFFFAOYSA-N,48,
3894,"2,3'',4,4''-tetrabromodiphenyl ether",C<sub>12</sub>H<sub>6</sub>Br<sub>4</sub>O,PBDE-66,189084-61-5,DHUMTYRHKMCVAG-UHFFFAOYSA-N,48,
3895,"3,3'',4,4''-tetrabromodiphenyl ether",C<sub>12</sub>H<sub>6</sub>Br<sub>4</sub>O,PBDE-77,93703-48-1,RYGLOWMCGZHYRQ-UHFFFAOYSA-N,48,
3896,"2,2'',3,4,4''-pentabromodiphenyl ether",C<sub>12</sub>H<sub>5</sub>Br<sub>5</sub>O,PBDE-85,182346-21-0,DMLQSUZPTTUUDP-UHFFFAOYSA-N,48,
3897,"2,2'',4,4'',5-pentabromodiphenyl ether",C<sub>12</sub>H<sub>5</sub>Br<sub>5</sub>O,PBDE-99,60348-60-9,WHPVYXDFIXRKLN-UHFFFAOYSA-N,48,
3898,"2,2'',4,4'',6-pentabromodiphenyl ether",C<sub>12</sub>H<sub>5</sub>Br<sub>5</sub>O,PBDE-100,189084-64-8,NSKIRYMHNFTRLR-UHFFFAOYSA-N,48,
3899,"2,3'',4,4'',5-pentabromodiphenyl ether",C<sub>12</sub>H<sub>5</sub>Br<sub>5</sub>O,PBDE-118,446254-77-9,SFNAUTSNWPPDSY-UHFFFAOYSA-N,48,
3900,"2,2'',4,4'',5,5''-hexabromodiphenyl ether",C<sub>12</sub>H<sub>4</sub>Br<sub>6</sub>O,PBDE-153,68631-49-2,RZXIRSKYBISPGF-UHFFFAOYSA-N,48,
3901,"2,2'',4,4'',5,6''-hexabromodiphenyl ether",C<sub>12</sub>H<sub>4</sub>Br<sub>6</sub>O,PBDE-154,207122-15-4,VHNPZYZQKWIWOD-UHFFFAOYSA-N,48,
3902,"2,2'',3,4,4'',5'',6-heptabromodiphenyl ether",C<sub>12</sub>H<sub>3</sub>Br<sub>7</sub>O,PBDE-183,207122-16-5,ILPSCQCLBHQUEM-UHFFFAOYSA-N,48,
3903,"2,2'',3,3'',4,4'',5,5'',6,6''-decabromodiphenyl ether",C<sub>12</sub>Br10O,PBDE-209,1163-19-5,WHHGLZMJPXIBIX-UHFFFAOYSA-N,48,
3904,dibromoacetonitrile,C<sub>2</sub>HBr<sub>2</sub>N,,3252-43-5,NDSBDLSWTGLNQA-UHFFFAOYSA-N,48,
3905,bromoacetonitrile,C<sub>2</sub>H<sub>2</sub>BrN,,590-17-0,REXUYBKPWIPONM-UHFFFAOYSA-N,48,
3906,"1,2-dibromo-2,4-dicyanobutane",C<sub>6</sub>H<sub>6</sub>Br<sub>2</sub>N<sub>2</sub>,,35691-65-7,DHVLDKHFGIVEIP-UHFFFAOYSA-N,48,
3907,4-bromobenzenamine,C<sub>6</sub>H<sub>6</sub>BrN,,106-40-1,WDFQBORIUYODSI-UHFFFAOYSA-N,48,
3908,"2,4,6-tribromobenzenamine",C<sub>6</sub>H<sub>4</sub>Br<sub>3</sub>N,,147-82-0,GVPODVKBTHCGFU-UHFFFAOYSA-N,48,
3909,"N,N''-dimethyl-3,3'',4,4'',5,5''-hexabromo-2,2''-bipyrrole",C<sub>10</sub>H<sub>6</sub>Br<sub>6</sub>N<sub>2</sub>,DBP-Br6,253798-63-9,BUKWTHPBLJVYMZ-UHFFFAOYSA-N,48,
3910,"1,1''-ethylene 2,2''-dipyridylium dibromide",C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>Br,diquat dibromide,85-00-7,JXEXEPZXXFNEHA-UHFFFAOYSA-M,48,
3911,tralomethrin,C<sub>22</sub>H<sub>19</sub>NO<sub>3</sub>Br<sub>4</sub>,,66841-25-6,YWSCPYYRJXKUDB-KAKFPZCNSA-N,48,
3912,bromomethyl peroxynitrate,CH<sub>2</sub>BrO<sub>2</sub>NO<sub>2</sub>,,_CAS-09,JTAFUKGUWIYDNI-UHFFFAOYSA-N,48,
3913,dibromomethyl peroxynitrate,CHBr<sub>2</sub>O<sub>2</sub>NO<sub>2</sub>,,_CAS-08,inchikey,48,
3914,tribromomethyl peroxynitrate,CBr<sub>3</sub>O<sub>2</sub>NO<sub>2</sub>,,_CAS-07,inchikey,48,
3915,"2,2-dibromo-2-cyanoacetamide",C<sub>3</sub>H<sub>2</sub>Br<sub>2</sub>N<sub>2</sub>O,"2,2-dibromo-3-nitrilopropionamide",10222-01-2,UUIVKBHZENILKB-UHFFFAOYSA-N,48,
3916,bronopol,C<sub>3</sub>H<sub>6</sub>BrNO<sub>4</sub>,,52-51-7,LVDKZNITIUWNER-UHFFFAOYSA-N,48,
3917,"2,6-dibromo-4-nitroaniline",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>N<sub>2</sub>O<sub>2</sub>,,827-94-1,YMZIFDLWYUSZCC-UHFFFAOYSA-N,48,
3918,"2-bromo-4,6-dinitroaniline",C<sub>6</sub>H<sub>4</sub>BrN<sub>3</sub>O<sub>4</sub>,,1817-73-8,KWMDHCLJYMVBNS-UHFFFAOYSA-N,48,
3919,3-bromonitrobenzene,C<sub>6</sub>H<sub>4</sub>BrNO<sub>2</sub>,m-bromonitrobenzene,585-79-5,FWIROFMBWVMWLB-UHFFFAOYSA-N,48,
3920,"3,5-dibromo-4-hydroxy-benzonitrile",C<sub>7</sub>H<sub>3</sub>Br<sub>2</sub>NO,,1689-84-5,UPMXNNIRAGDFEH-UHFFFAOYSA-N,48,
3921,"2,6-dibromo-3-methyl-4-nitroanisole",C<sub>8</sub>H<sub>7</sub>Br<sub>2</sub>NO<sub>3</sub>,,62265-99-0,RBAJFFLBHVZCDY-UHFFFAOYSA-N,48,
3922,bromacil,C<sub>9</sub>H<sub>13</sub>BrN<sub>2</sub>O<sub>2</sub>,,314-40-9,CTSLUCNDVMMDHG-UHFFFAOYSA-N,48,
3923,N'-(4-bromophenyl)-N-methoxy-N-methylurea,C<sub>9</sub>H<sub>11</sub>BrN<sub>2</sub>O,metobromuron,3060-89-7,WLFDQEVORAMCIM-UHFFFAOYSA-N,48,
3924,bromuron,C<sub>9</sub>H<sub>11</sub>BrN<sub>2</sub>O,,3408-97-7,GSNZNZUNAJCHDO-UHFFFAOYSA-N,48,
3925,"tris(2,3-dibromopropyl)isocyanurate",C<sub>12</sub>H<sub>15</sub>Br<sub>6</sub>N<sub>3</sub>O<sub>3</sub>,,52434-90-9,NZUPFZNVGSWLQC-UHFFFAOYSA-N,48,
3926,bromofenoxim,C<sub>13</sub>H<sub>7</sub>Br<sub>2</sub>N<sub>3</sub>O<sub>6</sub>,,13181-17-4,VTQWKUZUPOTXEH-UHFFFAOYSA-N,48,
3927,tribromsalan,C<sub>13</sub>H<sub>8</sub>Br<sub>3</sub>NO<sub>2</sub>,,87-10-5,KVSKGMLNBAPGKH-UHFFFAOYSA-N,48,
3928,"1-amino-2,4-dibromo-9,10-anthracenedione",C<sub>14</sub>H<sub>7</sub>Br<sub>2</sub>NO<sub>2</sub>,"1-amino-2,4-dibromoanthraquinone",81-49-2,ZINRVIQBCHAZMM-UHFFFAOYSA-N,48,
3929,"2,6-dibromo-4-cyanophenyl octanoate",C<sub>15</sub>H<sub>17</sub>BrNO<sub>2</sub>,,1689-99-2,DQKWXTIYGWPGOO-UHFFFAOYSA-N,48,
3930,"(2E)-N,N''-bis(2,4,6-tribromophenyl)-2-butenediamide",C<sub>16</sub>H<sub>8</sub>Br<sub>6</sub>N<sub>2</sub>O<sub>2</sub>,,92484-07-6,IJUNKLAVMFKPCX-OWOJBTEDSA-N,48,
3931,SAYTEX BT 93,C<sub>18</sub>H<sub>4</sub>Br<sub>8</sub>N<sub>2</sub>O<sub>4</sub>,,32588-76-4,DYIZJUDNMOIZQO-UHFFFAOYSA-N,48,
3932,SAYTEX BN 451,C<sub>20</sub>H<sub>20</sub>Br<sub>4</sub>N<sub>2</sub>O<sub>4</sub>,,52907-07-0,WOFYQUJNULCFLN-UHFFFAOYSA-N,48,
3933,deltamethrin,C<sub>22</sub>H<sub>19</sub>Br<sub>2</sub>NO<sub>3</sub>,,52918-63-5,OWZREIFADZCYQD-NSHGMRRFSA-N,48,
3934,"2,2''-(methylenedi-4,1-phenylene)bis(4,5,6,7-tetrabromo-1H-isoindole-1,3(2H)-dione",C<sub>29</sub>H<sub>10</sub>N<sub>2</sub>O<sub>4</sub>Br<sub>8</sub>,,32588-74-2,RHFKNNBDKARGKL-UHFFFAOYSA-N,48,
3935,bromotrifluoromethane,CF<sub>3</sub>Br,,75-63-8,RJCQBQGAPKAMLL-UHFFFAOYSA-N,49,
3936,dibromodifluoromethane,CBr<sub>2</sub>F<sub>2</sub>,,75-61-6,AZSZCFSOHXEJQE-UHFFFAOYSA-N,49,
3937,"1-bromo-1,2,2,2-tetrafluoroethane",C<sub>2</sub>HBrF<sub>4</sub>,teflurane,124-72-1,RZXZIZDRFQFCTA-UHFFFAOYSA-N,49,
3938,"1,2-dibromotetrafluoroethane",C<sub>2</sub>Br<sub>2</sub>F<sub>4</sub>,,124-73-2,KVBKAPANDHPRDG-UHFFFAOYSA-N,49,
3939,4-bromofluorobenzene,C<sub>6</sub>H<sub>4</sub>BrF,,460-00-4,AITNMTXHTIIIBB-UHFFFAOYSA-N,49,
3940,bromopentafluorobenzene,C<sub>6</sub>BrF<sub>5</sub>,,344-04-7,XEKTVXADUPBFOA-UHFFFAOYSA-N,49,
3941,bromethalin,C<sub>14</sub>H<sub>7</sub>Br<sub>3</sub>F<sub>3</sub>N<sub>3</sub>O<sub>4</sub>,,63333-35-7,USMZPYXTVKAYST-UHFFFAOYSA-N,49,
3942,bromochloromethane,CH<sub>2</sub>BrCl,,74-97-5,JPOXNPPZZKNXOV-UHFFFAOYSA-N,49,
3943,bromodichloromethane,CHCl<sub>2</sub>Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49,
3944,bromotrichloromethane,CBrCl<sub>3</sub>,,75-62-7,XNNQFQFUQLJSQT-UHFFFAOYSA-N,49,
3945,dibromochloromethane,CHClBr<sub>2</sub>,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49,
3946,1-chloro-2-bromoethane,C<sub>2</sub>H<sub>4</sub>BrCl,,107-04-0,IBYHHJPAARCAIE-UHFFFAOYSA-N,49,
3947,"1,2-dibromo-1,1-dichloroethane",C<sub>2</sub>H<sub>2</sub>Br<sub>2</sub>Cl<sub>2</sub>,,75-81-0,FIYBYNHDEOSJPL-UHFFFAOYSA-N,49,
3948,1-bromo-3-chloropropane,C<sub>3</sub>H<sub>6</sub>BrCl,,109-70-6,MFESCIUQSIBMSM-UHFFFAOYSA-N,49,
3949,"1,2-dibromo-3-chloropropane",C<sub>3</sub>H<sub>5</sub>Br<sub>2</sub>Cl,,96-12-8,WBEJYOJJBDISQU-UHFFFAOYSA-N,49,
3950,"1,2,3,4,5-pentabromo-6-chlorocyclohexane",C<sub>6</sub>H<sub>6</sub>Br<sub>5</sub>Cl,,87-84-3,UZOSVZSBPTTWIG-UHFFFAOYSA-N,49,
3951,"1,2,3,4-tetrabromo-5,6-dichlorocyclohexane",C<sub>6</sub>H<sub>6</sub>Br<sub>4</sub>Cl<sub>2</sub>,,_CAS-77,GABFTOZBVQIDBB-UHFFFAOYSA-N,49,
3952,"1,2,3-tribromo-4,5,6-trichlorocyclohexane",C<sub>6</sub>H<sub>6</sub>Br<sub>3</sub>Cl<sub>3</sub>,,_CAS-79,ZDEQCIGFZLZXBZ-UHFFFAOYSA-N,49,
